CITY,lat,lon
brighton,39.983721,-104.8110775
east boston,42.3750973,-71.0392173
west roxbury,42.2792649,-71.1494972
jamaica plain,42.3116046,-71.1143838
allston,42.3555375,-71.1327494
boston,42.3554334,-71.060511
roxbury,41.5568282,-73.3088922
hyde park,41.7944464,-87.5939244
charlestown,43.2387,-72.424622
dedham,41.9063152,-94.8222082
brookline,42.3317642,-71.1211635
readville,42.2403766,-71.1369964
chestnut hill,42.3306529,-71.1661647
mattapan,42.2723208,-71.0869953
roslindale,42.2912093,-71.1244966
dorchester,38.3930694,-76.0995677
south boston,42.3334312,-71.0494949
roxbury crossing,42.3312546,-71.0955776
